Date,NoDur,Manuf,BusEq,Shops,Hlth,Benchmark
1935-03-01,-0.048700,-0.053500,-0.049600,-0.043600,-0.031400,-0.045360
1935-04-01,0.059900,0.099700,0.091500,0.069200,0.031800,0.070420
1935-05-01,0.010800,0.014300,0.030000,0.025500,-0.040800,0.007960
1935-06-01,0.055100,0.069300,0.088100,0.062600,0.040800,0.063180
1935-07-01,0.031400,0.134200,0.115700,0.075100,0.032000,0.077680
1935-08-01,-0.015700,0.023400,0.038200,0.030700,0.002500,0.015820
1935-09-01,0.016900,0.032100,0.079700,-0.005800,0.011000,0.026780
1935-10-01,0.044900,0.074300,0.092800,0.012200,0.059800,0.056800
1935-11-01,0.010900,0.058700,0.075000,0.029000,0.017400,0.038200
1935-12-01,0.021000,0.046700,0.043900,-0.010300,0.023500,0.024960
1936-01-01,0.032400,0.058700,0.073400,-0.028100,0.034600,0.034200
1936-02-01,0.006000,0.071400,0.001300,0.009800,0.034600,0.024620
1936-03-01,-0.020900,0.024700,-0.009200,0.011500,0.035100,0.008240
1936-04-01,-0.044600,-0.099900,-0.089100,-0.052500,-0.092000,-0.075620
1936-05-01,0.049700,0.064500,0.055700,0.067300,0.048000,0.057040
1936-06-01,0.023200,0.000200,0.006000,0.052900,0.012800,0.019020
1936-07-01,0.029600,0.073700,0.129800,0.064000,0.046600,0.068740
1936-08-01,0.008400,0.030100,0.030300,0.025000,-0.014800,0.015800
1936-09-01,-0.006700,0.018800,-0.009200,0.027400,0.007700,0.007600
1936-10-01,0.033700,0.082100,0.063700,0.112700,0.037800,0.066000
1936-11-01,0.045000,0.059200,0.055300,0.109800,0.033700,0.060600
1936-12-01,-0.014700,0.035300,0.032600,-0.081700,-0.020600,-0.009820
1937-01-01,0.025100,0.051400,0.102400,0.000800,0.034700,0.042880
1937-02-01,0.008900,0.042900,-0.015600,0.030100,-0.037300,0.005800
1937-03-01,-0.010100,0.027400,-0.047400,-0.026800,-0.050300,-0.021440
1937-04-01,-0.063900,-0.112400,-0.077900,-0.072600,-0.033200,-0.072000
1937-05-01,-0.004500,0.010900,-0.005600,-0.045500,0.016800,-0.005580
1937-06-01,-0.032600,-0.036600,-0.018100,-0.015900,-0.041300,-0.028900
1937-07-01,0.050700,0.107300,0.102700,0.103400,0.041400,0.081100
1937-08-01,-0.024800,-0.047500,-0.058100,-0.042700,0.011000,-0.032420
1937-09-01,-0.091400,-0.204000,-0.154500,-0.141400,-0.108000,-0.139860
1937-10-01,-0.070600,-0.146400,-0.077000,-0.069300,-0.035500,-0.079760
1937-11-01,-0.058800,-0.092200,-0.037600,-0.144200,-0.051300,-0.076820
1937-12-01,-0.023200,-0.034600,-0.035700,-0.067500,-0.024100,-0.037020
1938-01-01,0.028400,-0.013500,-0.027400,0.059900,0.035100,0.016500
1938-02-01,0.035400,0.087700,0.053900,0.095200,0.086200,0.071680
1938-03-01,-0.159900,-0.274100,-0.289600,-0.224000,-0.145400,-0.218600
1938-04-01,0.123700,0.175400,0.160000,0.163400,0.118200,0.148140
1938-05-01,-0.002500,-0.085400,-0.031600,-0.039000,0.017000,-0.028300
1938-06-01,0.132400,0.350100,0.290400,0.241000,0.100900,0.222960
1938-07-01,0.066200,0.069300,0.061000,0.090700,0.058000,0.069040
1938-08-01,-0.040300,-0.031200,-0.008300,-0.024200,0.003600,-0.020080
1938-09-01,0.005200,0.012800,0.014600,0.000600,0.000000,0.006640
1938-10-01,0.051500,0.121300,0.111200,0.081900,0.056200,0.084420
1938-11-01,-0.025000,-0.018300,-0.049700,-0.004300,0.014300,-0.016600
1938-12-01,0.027800,0.057000,0.030400,0.009200,0.008600,0.026600
1939-01-01,-0.019200,-0.111400,-0.077800,-0.031400,-0.009600,-0.049880
1939-02-01,0.024700,0.040000,0.034600,0.062100,0.037300,0.039740
1939-03-01,-0.057800,-0.193000,-0.170200,-0.096100,-0.043600,-0.112140
1939-04-01,0.006000,-0.019000,-0.011400,-0.001300,0.010000,-0.003140
1939-05-01,0.054900,0.089200,0.071500,0.114000,0.055000,0.076920
1939-06-01,-0.020600,-0.087100,-0.088000,-0.027100,0.010800,-0.042400
1939-07-01,0.062300,0.143800,0.153800,0.087200,0.030800,0.095580
1939-08-01,-0.073900,-0.091200,-0.091000,-0.073600,-0.054600,-0.076860
1939-09-01,0.047800,0.323900,0.160000,0.016000,0.070600,0.123660
1939-10-01,0.032600,-0.023100,-0.018100,0.057800,0.002200,0.010280
1939-11-01,-0.004700,-0.077300,-0.033900,-0.023400,0.012200,-0.025420
